invoice_id,account_id,date,amount,status,due_date,description,tax,currency
INV-2024-001,ACC-1001,2024-01-01,99.00,paid,2024-01-15,Enterprise Plan - January 2024,8.91,USD
INV-2024-002,ACC-1001,2024-02-01,99.00,paid,2024-02-15,Enterprise Plan - February 2024,8.91,USD
INV-2024-003,ACC-1001,2024-03-01,149.00,paid,2024-03-15,Enterprise Plan - March 2024 (upgraded),13.41,USD
INV-2024-004,ACC-1001,2024-04-01,149.00,overdue,2024-04-15,Enterprise Plan - April 2024,13.41,USD
INV-2024-005,ACC-1001,2024-05-01,149.00,pending,2024-05-15,Enterprise Plan - May 2024,13.41,USD
INV-2024-006,ACC-1002,2024-01-01,29.00,paid,2024-01-15,Starter Plan - January 2024,2.61,USD
INV-2024-007,ACC-1002,2024-02-01,29.00,paid,2024-02-15,Starter Plan - February 2024,2.61,USD
INV-2024-008,ACC-1002,2024-03-01,29.00,overdue,2024-03-15,Starter Plan - March 2024,2.61,USD
INV-2024-009,ACC-1003,2023-11-01,149.00,paid,2023-11-15,Enterprise Plan - November 2023,13.41,USD
INV-2024-010,ACC-1003,2023-12-01,149.00,paid,2023-12-15,Enterprise Plan - December 2023,13.41,USD
INV-2024-011,ACC-1003,2024-01-01,149.00,cancelled,2024-01-15,Enterprise Plan - January 2024 (account suspended),0.00,USD
INV-2024-012,ACC-1004,2024-02-01,59.00,paid,2024-02-15,Professional Plan - February 2024,5.31,USD
INV-2024-013,ACC-1004,2024-03-01,59.00,paid,2024-03-15,Professional Plan - March 2024,5.31,USD
INV-2024-014,ACC-1004,2024-04-01,59.00,paid,2024-04-15,Professional Plan - April 2024,5.31,USD
INV-2024-015,ACC-1005,2024-01-01,299.00,paid,2024-01-15,Enterprise Plan - January 2024,26.91,USD
INV-2024-016,ACC-1005,2024-02-01,299.00,paid,2024-02-15,Enterprise Plan - February 2024,26.91,USD
INV-2024-017,ACC-1005,2024-03-01,299.00,paid,2024-03-15,Enterprise Plan - March 2024,26.91,USD
INV-2024-018,ACC-1005,2024-04-01,349.00,paid,2024-04-15,Enterprise Plan - April 2024 (storage add-on),31.41,USD
INV-2024-019,ACC-1006,2024-03-01,29.00,paid,2024-03-15,Starter Plan - March 2024,2.61,USD
INV-2024-020,ACC-1006,2024-04-01,29.00,pending,2024-04-15,Starter Plan - April 2024,2.61,USD
INV-2024-021,ACC-1007,2024-01-01,59.00,paid,2024-01-15,Professional Plan - January 2024,5.31,USD
INV-2024-022,ACC-1007,2024-02-01,59.00,paid,2024-02-15,Professional Plan - February 2024,5.31,USD
INV-2024-023,ACC-1007,2024-03-01,59.00,overdue,2024-03-15,Professional Plan - March 2024,5.31,USD
INV-2024-024,ACC-1008,2024-04-01,29.00,paid,2024-04-15,Starter Plan - April 2024,2.61,USD
INV-2024-025,ACC-1009,2024-01-01,149.00,paid,2024-01-15,Enterprise Plan - January 2024,13.41,USD
INV-2024-026,ACC-1009,2024-02-01,149.00,paid,2024-02-15,Enterprise Plan - February 2024,13.41,USD
INV-2024-027,ACC-1010,2023-10-01,59.00,paid,2023-10-15,Professional Plan - October 2023,5.31,USD
INV-2024-028,ACC-1010,2023-11-01,59.00,overdue,2023-11-15,Professional Plan - November 2023,5.31,USD
INV-2024-029,ACC-1011,2024-03-01,59.00,paid,2024-03-15,Professional Plan - March 2024,5.31,USD
INV-2024-030,ACC-1011,2024-04-01,59.00,paid,2024-04-15,Professional Plan - April 2024,5.31,USD
INV-2024-031,ACC-1012,2024-01-01,499.00,paid,2024-01-15,Enterprise Plan - January 2024,44.91,USD
INV-2024-032,ACC-1012,2024-02-01,499.00,paid,2024-02-15,Enterprise Plan - February 2024,44.91,USD
INV-2024-033,ACC-1012,2024-03-01,499.00,paid,2024-03-15,Enterprise Plan - March 2024,44.91,USD
INV-2024-034,ACC-1013,2024-04-01,29.00,paid,2024-04-15,Starter Plan - April 2024,2.61,USD
INV-2024-035,ACC-1014,2024-02-01,149.00,paid,2024-02-15,Enterprise Plan - February 2024,13.41,USD
INV-2024-036,ACC-1014,2024-03-01,149.00,paid,2024-03-15,Enterprise Plan - March 2024,13.41,USD
INV-2024-037,ACC-1015,2024-02-01,59.00,paid,2024-02-15,Professional Plan - February 2024,5.31,USD
INV-2024-038,ACC-1015,2024-03-01,59.00,paid,2024-03-15,Professional Plan - March 2024,5.31,USD
